event_id,t0_iso,entry_price,A,B,C,D,price_t45,price_t60,A_45,A_60,B_45,B_60,C_45,C_60,D_45,D_60
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789464465000,2026-09-15T09:27:48.553Z,0.988418,WAIT,BUY,BUY,WAIT,0.988625,0.988575,,,WIN,WIN,WIN,WIN,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789464480000,2026-09-15T09:28:04.000Z,0.988485,WAIT,WAIT,WAIT,WAIT,0.988575,0.988575,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789464485000,2026-09-15T09:28:08.530Z,0.988494,WAIT,WAIT,WAIT,WAIT,0.988575,0.988575,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789464490000,2026-09-15T09:28:14.484Z,0.988575,WAIT,WAIT,WAIT,BUY,0.988575,0.988575,,,,,,,DRAW,DRAW
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789464495000,2026-09-15T09:28:19.206Z,0.988605,WAIT,WAIT,WAIT,WAIT,0.988575,0.988575,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789464500000,2026-09-15T09:28:21.665Z,0.98859,WAIT,WAIT,WAIT,WAIT,0.988575,0.988575,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789464505000,2026-09-15T09:28:29.922Z,0.988635,WAIT,WAIT,WAIT,WAIT,0.988575,0.988575,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789464515000,2026-09-15T09:28:37.237Z,0.988625,WAIT,WAIT,WAIT,WAIT,0.988575,0.988575,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789464525000,2026-09-15T09:28:45.227Z,0.988575,WAIT,WAIT,WAIT,WAIT,0.988575,0.988575,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789464540000,2026-09-15T09:29:04.123Z,0.988575,WAIT,WAIT,WAIT,WAIT,0.988575,0.988575,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789464545000,2026-09-15T09:29:08.832Z,0.988575,WAIT,WAIT,WAIT,WAIT,0.988575,0.988575,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789464550000,2026-09-15T09:29:14.466Z,0.988575,WAIT,WAIT,WAIT,WAIT,0.988575,0.988575,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789464555000,2026-09-15T09:29:18.732Z,0.988575,WAIT,WAIT,WAIT,WAIT,0.988575,0.988575,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789464570000,2026-09-15T09:29:34.302Z,0.988575,WAIT,WAIT,WAIT,BUY,0.988575,0.988575,,,,,,,DRAW,DRAW
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789464575000,2026-09-15T09:29:37.670Z,0.988575,WAIT,WAIT,WAIT,WAIT,0.988575,0.988575,,,,,,,,
